Month,Advances,Declines,Total,AD_Ratio,NetAdvances,AD_Line_Monthly,AD_Ratio_Rolling,BreadthPositive
2024-04-01,1409,1162,2571,1.2125645438898451,247,-2081,0.936177121037271,True
2024-05-01,1159,1412,2571,0.8208215297450425,-253,-2334,0.9268895607768467,False
2024-06-01,1457,1174,2631,1.2410562180579217,283,-2051,1.091480763897603,True
2024-07-01,1365,1306,2671,1.045176110260337,59,-1992,1.0356846193544336,True
2024-08-01,1312,1384,2696,0.9479768786127167,-72,-2064,1.0780697356436584,False
2024-09-01,1275,1465,2740,0.8703071672354948,-190,-2254,0.9544867187028494,False
2024-10-01,1257,1511,2768,0.8318994043679683,-254,-2508,0.8833944834053932,False
2024-11-01,1375,1407,2782,0.9772565742714996,-32,-2540,0.8931543819583209,False
2024-12-01,1304,1492,2796,0.8739946380697051,-188,-2728,0.8943835389030577,False
2025-01-01,1275,1537,2812,0.8295380611581002,-262,-2990,0.8935964244997683,False
2025-02-01,1066,1755,2821,0.6074074074074074,-689,-3679,0.7703133688784042,False
2025-03-01,1441,1446,2887,0.9965421853388658,-5,-3684,0.8111625513014578,False
2025-04-01,1572,1303,2875,1.2064466615502687,269,-3415,0.9367987514321805,True
2025-05-01,1537,1320,2857,1.1643939393939393,217,-3198,1.1224609287610245,True
2025-06-01,1452,1431,2883,1.0146750524109014,21,-3177,1.1285052177850365,True
2025-07-01,1298,1623,2921,0.7997535428219347,-325,-3502,0.9929408448755916,False
2025-08-01,1316,1641,2957,0.8019500304692261,-325,-3827,0.8721262085673539,False
2025-09-01,1455,1555,3010,0.9356913183279743,-100,-3927,0.8457982972063781,False
2025-10-01,1660,1588,3248,1.0453400503778338,72,-3855,0.927660466391678,True
2025-11-01,1556,1782,3338,0.8731762065095399,-226,-4081,0.9514025250717825,False
2025-12-01,1584,1742,3326,0.9092996555683123,-158,-4239,0.9426053041518951,False
2026-01-01,1492,1866,3358,0.7995712754555199,-374,-4613,0.8606823791777906,False
2026-02-01,1700,1724,3424,0.9860788863109049,-24,-4637,0.8983166057782453,False
2026-03-01,1482,2020,3502,0.7336633663366336,-538,-5175,0.8397711760343526,False
2026-04-01,2146,1373,3519,1.5630007283321194,773,-4402,1.0942476603265525,True
2026-05-01,1779,1729,3508,1.0289184499710815,50,-4352,1.1085275148799447,True
2026-06-01,1781,1742,3523,1.0223880597014925,39,-4313,1.2047690793348975,True
2026-07-01,1765,1774,3539,0.9949267192784668,-9,-4322,1.0154110763170132,False
2026-08-01,1844,1848,3692,0.9978354978354979,-4,-4326,1.0050500922718189,False
