Month,Securities_Top5,Securities_Top10,Securities_Top25,Securities_Top50,Securities_Top100,Members_Top5,Members_Top10,Members_Top25,Members_Top50,Members_Top100,MonthDate,FiscalYear,Securities_Top5_Rolling3M,Securities_Top10_Rolling3M,Securities_Top25_Rolling3M,Securities_Top50_Rolling3M,Securities_Top100_Rolling3M,Members_Top5_Rolling3M,Members_Top10_Rolling3M,Members_Top25_Rolling3M,Members_Top50_Rolling3M,Members_Top100_Rolling3M
2023-10,9,15,25,36,52,26,40,61,76,89,2023-10-01,2023-2024,11.0,16.666666666666668,27.666666666666668,39.666666666666664,55.0,25.0,38.333333333333336,59.333333333333336,75.66666666666667,89.0
2023-11,8,13,23,33,46,25,39,60,76,88,2023-11-01,2023-2024,9.666666666666666,15.0,25.666666666666668,37.0,51.666666666666664,25.333333333333332,39.0,60.0,76.0,88.66666666666667
2023-12,9,14,25,38,55,28,41,60,76,89,2023-12-01,2023-2024,8.666666666666666,14.0,24.333333333333332,35.666666666666664,51.0,26.333333333333332,40.0,60.333333333333336,76.0,88.66666666666667
2024-01,10,15,25,36,49,28,42,61,77,89,2024-01-01,2023-2024,9.0,14.0,24.333333333333332,35.666666666666664,50.0,27.0,40.666666666666664,60.333333333333336,76.33333333333333,88.66666666666667
2024-02,9,15,26,38,54,27,41,61,77,89,2024-02-01,2023-2024,9.333333333333334,14.666666666666666,25.333333333333332,37.333333333333336,52.666666666666664,27.666666666666668,41.333333333333336,60.666666666666664,76.66666666666667,89.0
2024-03,11,17,28,39,53,26,39,63,78,90,2024-03-01,2023-2024,10.0,15.666666666666666,26.333333333333332,37.666666666666664,52.0,27.0,40.666666666666664,61.666666666666664,77.33333333333333,89.33333333333333
2024-04,9,15,27,40,56,26,41,62,78,90,2024-04-01,2024-2025,9.666666666666666,15.666666666666666,27.0,39.0,54.333333333333336,26.333333333333332,40.333333333333336,62.0,77.66666666666667,89.66666666666667
2024-05,8,14,27,41,58,26,40,63,79,91,2024-05-01,2024-2025,9.333333333333334,15.333333333333334,27.333333333333332,40.0,55.666666666666664,26.0,40.0,62.666666666666664,78.33333333333333,90.33333333333333
2024-06,9,16,27,38,51,27,41,62,78,91,2024-06-01,2024-2025,8.666666666666666,15.0,27.0,39.666666666666664,55.0,26.333333333333332,40.666666666666664,62.333333333333336,78.33333333333333,90.66666666666667
2024-07,10,16,27,40,55,27,42,62,77,90,2024-07-01,2024-2025,9.0,15.333333333333334,27.0,39.666666666666664,54.666666666666664,26.666666666666668,41.0,62.333333333333336,78.0,90.66666666666667
2024-08,9,14,24,36,51,26,41,63,78,90,2024-08-01,2024-2025,9.333333333333334,15.333333333333334,26.0,38.0,52.333333333333336,26.666666666666668,41.333333333333336,62.333333333333336,77.66666666666667,90.33333333333333
2024-09,8,13,25,37,52,25,40,63,78,90,2024-09-01,2024-2025,9.0,14.333333333333334,25.333333333333332,37.666666666666664,52.666666666666664,26.0,41.0,62.666666666666664,77.66666666666667,90.0
2024-10,10,15,28,40,55,27,42,64,79,91,2024-10-01,2024-2025,9.0,14.0,25.666666666666668,37.666666666666664,52.666666666666664,26.0,41.0,63.333333333333336,78.33333333333333,90.33333333333333
2024-11,11,17,29,42,59,26,41,65,80,91,2024-11-01,2024-2025,9.666666666666666,15.0,27.333333333333332,39.666666666666664,55.333333333333336,26.0,41.0,64.0,79.0,90.66666666666667
2024-12,8,13,25,37,53,28,43,64,80,91,2024-12-01,2024-2025,9.666666666666666,15.0,27.333333333333332,39.666666666666664,55.666666666666664,27.0,42.0,64.33333333333333,79.66666666666667,91.0
2025-01,8,14,25,38,53,29,43,66,81,92,2025-01-01,2024-2025,9.0,14.666666666666666,26.333333333333332,39.0,55.0,27.666666666666668,42.333333333333336,65.0,80.33333333333333,91.33333333333333
2025-02,8,14,26,38,54,28,43,66,82,92,2025-02-01,2024-2025,8.0,13.666666666666666,25.333333333333332,37.666666666666664,53.333333333333336,28.333333333333332,43.0,65.33333333333333,81.0,91.66666666666667
2025-03,10,17,28,40,54,28,42,66,81,92,2025-03-01,2024-2025,8.666666666666666,15.0,26.333333333333332,38.666666666666664,53.666666666666664,28.333333333333332,42.666666666666664,66.0,81.33333333333333,92.0
2025-04,10,16,28,41,56,27,41,65,81,92,2025-04-01,2025-2026,9.333333333333334,15.666666666666666,27.333333333333332,39.666666666666664,54.666666666666664,27.666666666666668,42.0,65.66666666666667,81.33333333333333,92.0
2025-05,10,16,30,41,55,27,43,65,81,91,2025-05-01,2025-2026,10.0,16.333333333333332,28.666666666666668,40.666666666666664,55.0,27.333333333333332,42.0,65.33333333333333,81.0,91.66666666666667
2025-06,7,12,25,37,51,26,41,64,81,92,2025-06-01,2025-2026,9.0,14.666666666666666,27.666666666666668,39.666666666666664,54.0,26.666666666666668,41.666666666666664,64.66666666666667,81.0,91.66666666666667
2025-07,7,12,22,33,47,27,42,63,79,91,2025-07-01,2025-2026,8.0,13.333333333333334,25.666666666666668,37.0,51.0,26.666666666666668,42.0,64.0,80.33333333333333,91.33333333333333
2025-08,9,15,26,38,52,26,41,63,79,91,2025-08-01,2025-2026,7.666666666666667,13.0,24.333333333333332,36.0,50.0,26.333333333333332,41.333333333333336,63.333333333333336,79.66666666666667,91.33333333333333
2025-09,7,13,25,37,52,28,42,63,78,90,2025-09-01,2025-2026,7.666666666666667,13.333333333333334,24.333333333333332,36.0,50.333333333333336,27.0,41.666666666666664,63.0,78.66666666666667,90.66666666666667
2025-10,8,14,26,37,51,28,43,63,80,90,2025-10-01,2025-2026,8.0,14.0,25.666666666666668,37.333333333333336,51.666666666666664,27.333333333333332,42.0,63.0,79.0,90.33333333333333
2025-11,10,16,26,37,52,26,41,64,80,91,2025-11-01,2025-2026,8.333333333333334,14.333333333333334,25.666666666666668,37.0,51.666666666666664,27.333333333333332,42.0,63.333333333333336,79.33333333333333,90.33333333333333
2025-12,9,16,28,39,53,27,42,62,78,91,2025-12-01,2025-2026,9.0,15.333333333333334,26.666666666666668,37.666666666666664,52.0,27.0,42.0,63.0,79.33333333333333,90.66666666666667
2026-01,12,18,31,42,57,29,43,64,80,91,2026-01-01,2025-2026,10.333333333333334,16.666666666666668,28.333333333333332,39.333333333333336,54.0,27.333333333333332,42.0,63.333333333333336,79.33333333333333,91.0
2026-02,10,16,28,40,55,29,43,64,82,92,2026-02-01,2025-2026,10.333333333333334,16.666666666666668,29.0,40.333333333333336,55.0,28.333333333333332,42.666666666666664,63.333333333333336,80.0,91.33333333333333
2026-03,11,17,29,41,56,28,42,63,80,92,2026-03-01,2025-2026,11.0,17.0,29.333333333333332,41.0,56.0,28.666666666666668,42.666666666666664,63.666666666666664,80.66666666666667,91.66666666666667
2026-04,10,15,26,37,52,29,45,65,80,92,2026-04-01,2026-2027,10.333333333333334,16.0,27.666666666666668,39.333333333333336,54.333333333333336,28.666666666666668,43.333333333333336,64.0,80.66666666666667,92.0
2026-05,8,14,25,36,51,29,44,65,81,92,2026-05-01,2026-2027,9.666666666666666,15.333333333333334,26.666666666666668,38.0,53.0,28.666666666666668,43.666666666666664,64.33333333333333,80.33333333333333,92.0
2026-06,8,13,23,35,50,29,43,64,80,92,2026-06-01,2026-2027,8.666666666666666,14.0,24.666666666666668,36.0,51.0,29.0,44.0,64.66666666666667,80.33333333333333,92.0
2026-07,8,13,22,32,48,28,43,64,80,92,2026-07-01,2026-2027,8.0,13.333333333333334,23.333333333333332,34.333333333333336,49.666666666666664,28.666666666666668,43.333333333333336,64.33333333333333,80.33333333333333,92.0
2026-08,7,11,21,31,45,27,42,64,79,91,2026-08-01,2026-2027,7.666666666666667,12.333333333333334,22.0,32.666666666666664,47.666666666666664,28.0,42.666666666666664,64.0,79.66666666666667,91.66666666666667
